day,rob_count_0,rob_rebelled_0,trade_count_0,trade_accepted_0,0_obey_to,farm_count_0,rob_count_1,rob_rebelled_1,trade_count_1,trade_accepted_1,1_obey_to,farm_count_1,rob_count_2,rob_rebelled_2,trade_count_2,trade_accepted_2,2_obey_to,farm_count_2,rob_count_3,rob_rebelled_3,trade_count_3,trade_accepted_3,3_obey_to,farm_count_3,rob_count_4,rob_rebelled_4,trade_count_4,trade_accepted_4,4_obey_to,farm_count_4,rob_count_5,rob_rebelled_5,trade_count_5,trade_accepted_5,5_obey_to,farm_count_5,rob_count_6,rob_rebelled_6,trade_count_6,trade_accepted_6,6_obey_to,farm_count_6,rob_count_7,rob_rebelled_7,trade_count_7,trade_accepted_7,7_obey_to,farm_count_7,rob_count_8,rob_rebelled_8,trade_count_8,trade_accepted_8,8_obey_to,farm_count_8
2,0,0,0,0,-1,1,1,1,0,0,-1,0,1,1,0,0,-1,0,1,1,0,0,-1,0,1,1,0,0,-1,0,0,0,0,0,-1,1,1,1,0,0,-1,0,0,0,0,0,-1,1,1,1,0,0,-1,0
3,1,1,0,0,-1,1,2,2,0,0,-1,0,2,2,0,0,-1,0,1,1,1,1,-1,0,2,2,0,0,-1,0,0,0,1,1,-1,1,2,2,0,0,-1,0,0,0,1,0,-1,1,2,2,0,0,-1,0
4,1,1,0,0,-1,2,2,2,1,0,-1,0,3,3,0,0,-1,0,2,2,1,1,-1,0,2,2,1,0,-1,0,1,1,1,1,-1,1,2,2,1,1,-1,0,1,1,1,0,-1,1,3,3,0,0,-1,0
5,2,2,0,0,-1,2,3,3,1,0,-1,0,3,3,1,0,4,0,2,2,1,1,-1,1,3,2,1,0,-1,0,2,2,1,1,-1,1,3,3,1,1,-1,0,2,2,1,0,-1,1,4,4,0,0,-1,0
6,3,3,0,0,-1,2,4,4,1,0,-1,0,3,3,2,0,4,0,2,2,2,2,-1,1,4,3,1,0,-1,0,3,3,1,1,-1,1,3,3,1,1,-1,1,3,3,1,0,-1,1,5,5,0,0,-1,0
7,4,4,0,0,-1,2,5,5,1,0,-1,0,3,3,2,0,4,1,2,2,3,3,-1,1,5,4,1,0,-1,0,3,3,1,1,-1,2,4,4,1,1,-1,1,3,3,1,0,-1,2,6,6,0,0,-1,0
8,4,4,0,0,-1,3,6,6,1,0,-1,0,3,3,2,0,4,2,2,2,3,3,-1,2,6,5,1,0,-1,0,3,3,1,1,8,3,5,5,1,1,-1,1,3,3,1,0,-1,3,7,6,0,0,-1,0
9,4,4,0,0,-1,4,6,6,2,0,-1,0,3,3,2,0,4,3,3,3,3,3,-1,2,7,6,1,0,-1,0,3,3,1,1,8,4,6,6,1,1,-1,1,3,3,1,0,-1,4,8,7,0,0,-1,0
10,5,4,0,0,-1,4,6,6,2,0,0,1,3,3,2,0,4,4,3,3,3,3,-1,3,7,6,1,0,-1,1,3,3,1,1,8,5,6,6,1,1,-1,2,4,4,1,0,-1,4,9,8,0,0,-1,0
11,6,5,0,0,-1,4,6,6,3,1,0,1,3,3,2,0,4,5,3,3,3,3,-1,4,8,7,1,0,-1,1,3,3,1,1,8,6,6,6,1,1,-1,3,4,4,1,0,-1,5,9,8,0,0,-1,1
12,6,5,0,0,-1,5,6,6,4,2,0,1,3,3,2,0,4,6,3,3,3,3,-1,5,9,8,1,0,-1,1,3,3,1,1,8,7,6,6,1,1,-1,4,4,4,1,0,-1,6,10,9,0,0,-1,1
13,7,5,0,0,-1,5,6,6,4,2,0,2,3,3,3,0,4,6,3,3,4,3,-1,5,9,8,1,0,8,2,3,3,1,1,8,8,6,6,1,1,-1,5,4,4,1,0,-1,7,11,9,0,0,-1,1
14,8,6,0,0,-1,5,6,6,4,2,0,3,3,3,3,0,4,7,4,4,4,3,-1,5,9,8,1,0,8,3,3,3,1,1,8,9,7,7,1,1,-1,5,4,4,2,0,-1,7,11,9,0,0,-1,2
15,9,7,0,0,-1,5,6,6,4,2,0,4,3,3,3,0,4,8,4,4,4,3,-1,6,10,9,1,0,8,3,3,3,1,1,8,10,7,7,1,1,-1,6,4,4,2,0,-1,8,12,10,0,0,-1,2
16,9,7,0,0,-1,6,6,6,5,2,0,4,3,3,4,1,4,8,4,4,5,4,-1,6,10,9,1,0,8,4,3,3,2,1,8,10,8,7,1,1,-1,6,5,5,2,0,-1,8,12,10,0,0,6,3
17,10,8,0,0,-1,6,6,6,5,2,0,5,3,3,4,1,4,9,5,4,5,4,-1,6,10,9,1,0,8,5,3,3,2,1,8,11,9,8,1,1,3,6,5,5,2,0,-1,9,12,10,0,0,6,4
18,11,9,0,0,-1,6,6,6,5,2,0,6,3,3,4,1,4,10,5,4,6,5,-1,6,10,9,2,1,8,5,3,3,2,1,8,12,9,8,1,1,3,7,5,5,2,0,-1,10,12,10,0,0,6,5
19,12,9,0,0,-1,6,6,6,5,2,0,7,3,3,5,1,4,10,5,4,6,5,0,7,10,9,2,1,8,6,3,3,2,1,8,13,9,8,1,1,3,8,5,5,2,0,-1,11,12,10,0,0,6,6
20,12,9,0,0,-1,7,6,6,5,2,0,8,3,3,5,1,4,11,5,4,6,5,0,8,10,9,3,1,8,6,3,3,3,2,8,13,9,8,1,1,3,9,6,6,2,0,-1,11,12,10,0,0,6,7
21,13,10,0,0,-1,7,6,6,6,3,0,8,3,3,6,2,4,11,5,4,7,5,0,8,10,9,4,1,8,6,3,3,3,2,8,14,9,8,1,1,3,10,6,6,2,0,-1,12,12,10,0,0,6,8
22,14,11,0,0,-1,7,6,6,7,3,0,8,4,4,6,2,4,11,6,5,7,5,0,8,10,9,4,1,8,7,3,3,3,2,8,15,10,9,1,1,3,10,7,7,2,0,-1,12,12,10,0,0,6,9
23,15,12,0,0,7,7,6,6,7,3,0,9,4,4,7,3,4,11,6,5,7,5,0,9,10,9,4,1,8,8,3,3,4,2,8,15,10,9,2,1,3,11,8,7,2,0,-1,12,12,10,0,0,6,11
24,15,12,0,0,7,8,6,6,7,3,0,10,4,4,8,4,4,11,6,5,8,5,0,9,10,9,4,1,8,9,3,3,4,2,8,16,10,9,2,1,3,13,9,7,2,0,-1,12,12,10,0,0,6,12
25,15,12,0,0,7,9,6,6,7,3,0,11,4,4,8,4,4,12,6,5,8,5,0,11,10,9,5,1,8,10,3,3,4,2,8,18,10,9,2,1,3,14,10,8,2,0,-1,12,12,10,1,1,6,12
26,15,12,0,0,7,10,6,6,7,3,0,12,5,5,9,4,4,12,6,5,10,6,0,11,10,9,5,1,8,12,3,3,4,2,8,19,10,9,2,1,3,15,10,8,2,0,-1,13,12,10,1,1,6,13
27,15,12,0,0,7,11,7,7,7,3,0,13,5,5,10,5,4,13,6,5,10,6,0,12,11,10,5,1,8,13,3,3,4,2,8,21,10,9,2,1,3,17,10,8,2,0,-1,14,12,10,1,1,6,14
28,15,12,0,0,7,12,7,7,8,3,0,13,5,5,10,5,4,14,6,5,10,6,0,13,11,10,5,1,8,14,3,3,4,2,8,22,10,9,3,1,3,17,11,9,2,0,-1,14,12,10,1,1,6,15
29,15,12,1,0,7,12,7,7,8,3,0,14,5,5,10,5,4,15,6,5,10,6,0,14,11,10,6,1,8,14,3,3,4,2,8,23,10,9,3,1,3,18,11,9,3,1,-1,14,12,10,1,1,6,16
30,15,12,1,0,7,13,7,7,8,3,0,15,5,5,10,5,4,16,6,5,10,6,0,15,11,10,6,1,8,15,3,3,4,2,8,24,10,9,3,1,3,19,12,10,3,1,-1,14,12,10,1,1,6,17
