total_rob,rob_ratio,total_trade,trade_ratio,total_farm,farm_ratio,total_obey,obey_ratio
total_rob,rob_ratio,total_trade,trade_ratio,total_farm,farm_ratio,total_obey,obey_ratio
total_rob,rob_ratio,total_trade,trade_ratio,total_farm,farm_ratio,total_obey,obey_ratio
3,0.75,0,0.0,1,0.25,"[False, False, False, False, False]",0.0
6,0.75,0,0.0,2,0.25,"[False, False, False, False, False]",0.0
8,0.6666666666666666,0,0.0,4,0.3333333333333333,"[False, False, False, False, False]",0.0
11,0.6111111111111112,0,0.0,7,0.3888888888888889,"[False, False, False, False, False]",0.0
14,0.6086956521739131,1,0.043478260869565216,8,0.34782608695652173,"[False, False, False, False, False]",0.0
16,0.5714285714285714,2,0.07142857142857142,10,0.35714285714285715,"[False, False, False, False, False]",0.0
16,0.47058823529411764,4,0.11764705882352941,14,0.4117647058823529,"[False, False, False, False, False]",0.0
17,0.4473684210526316,6,0.15789473684210525,15,0.39473684210526316,"[False, False, False, False, False]",0.0
17,0.4146341463414634,8,0.1951219512195122,16,0.3902439024390244,"[False, False, False, False, False]",0.0
19,0.40425531914893614,9,0.19148936170212766,19,0.40425531914893614,"[False, False, False, False, False]",0.0
19,0.37254901960784315,10,0.19607843137254902,22,0.43137254901960786,"[False, False, False, False, False]",0.0
21,0.3620689655172414,10,0.1724137931034483,27,0.46551724137931033,"[False, False, False, False, False]",0.0
23,0.3709677419354839,11,0.1774193548387097,28,0.45161290322580644,"[False, False, False, False, False]",0.0
23,0.35384615384615387,13,0.2,29,0.4461538461538462,"[False, False, False, False, False]",0.0
28,0.37333333333333335,14,0.18666666666666668,33,0.44,"[False, False, False, False, False]",0.0
30,0.38461538461538464,14,0.1794871794871795,34,0.4358974358974359,"[False, False, False, False, False]",0.0
35,0.4166666666666667,15,0.17857142857142858,34,0.40476190476190477,"[False, False, False, False, False]",0.0
37,0.4111111111111111,15,0.16666666666666666,38,0.4222222222222222,"[False, False, False, False, False]",0.0
39,0.4105263157894737,15,0.15789473684210525,41,0.43157894736842106,"[False, False, False, False, False]",0.0
40,0.40816326530612246,16,0.16326530612244897,42,0.42857142857142855,"[False, False, False, False, False]",0.0
41,0.3942307692307692,16,0.15384615384615385,47,0.4519230769230769,"[False, False, False, False, False]",0.0
43,0.3944954128440367,16,0.14678899082568808,50,0.45871559633027525,"[False, False, False, False, False]",0.0
43,0.38392857142857145,18,0.16071428571428573,51,0.45535714285714285,"[False, False, False, False, False]",0.0
47,0.39166666666666666,19,0.15833333333333333,54,0.45,"[False, False, False, False, False]",0.0
48,0.3870967741935484,19,0.1532258064516129,57,0.4596774193548387,"[False, False, False, False, False]",0.0
49,0.3858267716535433,20,0.15748031496062992,58,0.4566929133858268,"[False, False, False, False, False]",0.0
50,0.3816793893129771,20,0.15267175572519084,61,0.46564885496183206,"[False, False, False, False, False]",0.0
56,0.4028776978417266,20,0.14388489208633093,63,0.45323741007194246,"[False, False, False, False, False]",0.0
57,0.4014084507042254,21,0.14788732394366197,64,0.4507042253521127,"[False, False, False, False, False]",0.0
61,0.40939597315436244,21,0.14093959731543623,67,0.44966442953020136,"[False, False, False, False, False]",0.0
62,0.4025974025974026,22,0.14285714285714285,70,0.45454545454545453,"[False, False, False, False, False]",0.0
63,0.3987341772151899,22,0.13924050632911392,73,0.4620253164556962,"[False, False, False, False, False]",0.0
66,0.4,22,0.13333333333333333,77,0.4666666666666667,"[False, False, False, False, False]",0.0
68,0.40236686390532544,22,0.1301775147928994,79,0.46745562130177515,"[False, False, False, False, False]",0.0
71,0.4057142857142857,22,0.12571428571428572,82,0.4685714285714286,"[False, False, False, False, False]",0.0
71,0.39664804469273746,23,0.12849162011173185,85,0.4748603351955307,"[False, False, False, False, False]",0.0
74,0.4,24,0.12972972972972974,87,0.4702702702702703,"[False, False, False, False, False]",0.0
75,0.39473684210526316,24,0.12631578947368421,91,0.4789473684210526,"[False, False, False, False, False]",0.0
76,0.38974358974358975,24,0.12307692307692308,95,0.48717948717948717,"[False, False, False, False, False]",0.0
76,0.38190954773869346,25,0.12562814070351758,98,0.49246231155778897,"[False, False, False, False, False]",0.0
76,0.37438423645320196,26,0.12807881773399016,101,0.4975369458128079,"[False, False, False, False, False]",0.0
76,0.3671497584541063,27,0.13043478260869565,104,0.5024154589371981,"[False, False, False, False, False]",0.0
79,0.3691588785046729,28,0.1308411214953271,107,0.5,"[False, False, False, False, False]",0.0
82,0.3761467889908257,28,0.12844036697247707,108,0.4954128440366973,"[False, False, False, False, False]",0.0
