total_rob,rob_ratio,total_trade,trade_ratio,total_farm,farm_ratio,total_obey,obey_ratio
3,0.42857142857142855,0,0.0,4,0.5714285714285714,0,0.0
4,0.36363636363636365,0,0.0,7,0.6363636363636364,0,0.0
10,0.43478260869565216,4,0.17391304347826086,9,0.391304347826087,0,0.0
10,0.4,4,0.16,11,0.44,0,0.0
12,0.4,4,0.13333333333333333,14,0.4666666666666667,0,0.0
13,0.40625,4,0.125,15,0.46875,0,0.0
19,0.4634146341463415,6,0.14634146341463414,16,0.3902439024390244,0,0.0
20,0.43478260869565216,7,0.15217391304347827,19,0.41304347826086957,0,0.0
22,0.4489795918367347,7,0.14285714285714285,20,0.40816326530612246,0,0.0
24,0.4528301886792453,7,0.1320754716981132,22,0.41509433962264153,0,0.0
26,0.4406779661016949,7,0.11864406779661017,26,0.4406779661016949,0,0.0
32,0.47058823529411764,8,0.11764705882352941,28,0.4117647058823529,0,0.0
36,0.4864864864864865,9,0.12162162162162163,29,0.3918918918918919,0,0.0
37,0.4805194805194805,9,0.11688311688311688,31,0.4025974025974026,0,0.0
40,0.4878048780487805,9,0.10975609756097561,33,0.4024390243902439,0,0.0
41,0.4939759036144578,9,0.10843373493975904,33,0.39759036144578314,0,0.0
41,0.47126436781609193,10,0.11494252873563218,36,0.41379310344827586,0,0.0
