rob_count_0,rob_accepted_0,trade_count_0,trade_accepted_0,obey_to_0,farm_count_0,rob_count_1,rob_accepted_1,trade_count_1,trade_accepted_1,obey_to_1,farm_count_1,rob_count_2,rob_accepted_2,trade_count_2,trade_accepted_2,obey_to_2,farm_count_2,rob_count_3,rob_accepted_3,trade_count_3,trade_accepted_3,obey_to_3,farm_count_3,rob_count_4,rob_accepted_4,trade_count_4,trade_accepted_4,obey_to_4,farm_count_4,rob_count_5,rob_accepted_5,trade_count_5,trade_accepted_5,obey_to_5,farm_count_5,rob_count_6,rob_accepted_6,trade_count_6,trade_accepted_6,obey_to_6,farm_count_6,rob_count_7,rob_accepted_7,trade_count_7,trade_accepted_7,obey_to_7,farm_count_7,rob_count_8,rob_accepted_8,trade_count_8,trade_accepted_8,obey_to_8,farm_count_8
0,0,0,0,-1,1,1,0,0,0,-1,1,1,0,0,0,-1,1,2,0,0,0,-1,1,1,0,0,0,-1,0,1,0,0,0,-1,0,1,0,0,0,-1,0,2,0,0,0,-1,0,1,0,0,0,-1,0
0,0,0,0,-1,2,1,0,0,0,-1,2,1,0,0,0,-1,1,2,0,0,0,-1,2,2,0,0,0,-1,0,1,0,1,0,-1,0,2,0,0,0,3,0,2,0,0,0,-1,0,1,0,0,0,-1,1
1,0,0,0,-1,2,1,0,0,0,-1,3,1,0,0,0,-1,2,2,0,0,0,-1,3,3,0,0,0,-1,0,1,0,1,0,-1,1,3,1,0,0,3,0,2,0,0,0,-1,1,1,0,0,0,-1,2
1,0,0,0,-1,4,1,0,0,0,-1,3,1,0,0,0,-1,3,2,0,0,0,-1,3,4,0,0,0,-1,0,1,0,1,0,-1,3,4,1,0,0,3,0,2,0,0,0,-1,2,1,0,1,1,-1,2
1,0,0,0,-1,4,1,0,0,0,-1,5,1,0,0,0,-1,4,2,0,0,0,-1,3,5,0,0,0,-1,0,1,0,1,0,-1,5,5,1,0,0,3,0,2,0,0,0,-1,3,1,0,2,2,-1,2
2,0,0,0,-1,5,2,0,0,0,-1,5,1,0,0,0,-1,7,2,0,1,0,-1,3,6,0,0,0,-1,0,1,0,1,0,-1,5,7,1,0,0,3,0,3,0,0,0,-1,3,1,0,2,2,-1,3
2,0,0,0,-1,5,2,0,0,0,-1,5,1,0,1,1,-1,7,2,0,1,0,-1,4,7,0,0,0,-1,0,1,0,1,0,-1,6,7,1,0,0,3,0,3,0,0,0,-1,4,1,0,2,2,-1,4
2,0,0,0,-1,8,2,0,1,0,-1,5,1,0,1,1,-1,7,2,0,1,0,-1,5,7,0,0,0,-1,1,1,0,1,0,-1,6,8,1,2,2,3,0,4,0,0,0,6,5,2,0,2,2,-1,4
2,0,0,0,-1,8,2,0,1,0,-1,7,1,0,1,1,-1,8,2,0,2,1,-1,5,8,0,0,0,-1,1,1,0,2,0,-1,6,8,1,2,2,3,0,4,0,0,0,6,5,2,0,2,2,-1,5
2,0,0,0,-1,8,2,0,1,0,-1,7,1,0,1,1,-1,8,2,0,2,1,-1,7,8,0,0,0,-1,2,1,0,3,0,-1,6,8,1,2,2,3,0,4,0,0,0,6,6,2,0,2,2,-1,6
